state	county	total_loss	closed_loss	open_loss	cwop_loss	total_pay
ALABAMA	AUTAUGA COUNTY	330	230	3	97	5051546.33
ALABAMA	BALDWIN COUNTY	16604	13217	14	3373	505741626.95
ALABAMA	BARBOUR COUNTY	23	10	0	13	49105.22
ALABAMA	BIBB COUNTY	4	2	0	2	4355.14
ALABAMA	BLOUNT COUNTY	20	16	0	4	557560.63
ALABAMA	BULLOCK COUNTY	3	3	0	0	62114.64
ALABAMA	CALHOUN COUNTY	100	65	0	35	400945.17
ALABAMA	CHAMBERS COUNTY	14	12	0	2	765188.13
ALABAMA	CHEROKEE COUNTY	8	5	0	3	46343.49
ALABAMA	CHILTON COUNTY	9	7	0	2	58258.98
ALABAMA	CHOCTAW COUNTY	44	32	0	12	293152.44
ALABAMA	CLARKE COUNTY	2	2	0	0	1941.57
ALABAMA	COFFEE COUNTY	511	436	3	72	15266141.76
ALABAMA	COLBERT COUNTY	102	85	0	17	960067.79
ALABAMA	CONECUH COUNTY	2	1	0	1	6624
ALABAMA	COOSA COUNTY	8	4	0	4	113901.23
ALABAMA	COVINGTON COUNTY	37	25	0	12	416538.11
ALABAMA	CRENSHAW COUNTY	1	1	0	0	63305.59
ALABAMA	CULLMAN COUNTY	8	5	0	3	33420.38
ALABAMA	DALE COUNTY	223	197	0	26	5460052.17
ALABAMA	DALLAS COUNTY	184	140	4	40	1548647.17
ALABAMA	DE KALB COUNTY	27	20	0	7	441755.39
ALABAMA	ELMORE COUNTY	32	21	1	10	441551.06
ALABAMA	ESCAMBIA COUNTY	307	261	0	46	10439069.3
ALABAMA	ETOWAH COUNTY	91	74	0	17	549487.7
ALABAMA	GENEVA COUNTY	150	140	0	10	2703803.83
ALABAMA	GREENE COUNTY	135	114	0	21	691433.24
ALABAMA	HALE COUNTY	134	115	0	19	497233.85
ALABAMA	HENRY COUNTY	5	3	0	2	33975.32
ALABAMA	HOUSTON COUNTY	64	52	1	11	1458878.14
ALABAMA	JACKSON COUNTY	58	44	0	14	479135.38
ALABAMA	JEFFERSON COUNTY	2182	1727	12	443	28167205.8
